Date,Start Time,End Time,Code,Subject_en,Subject_th,Credits,Note,Section,Section_Type_en,Section_Type_th,Building,Room,Instructor_th,Instructor_en,Proctor
2026-03-16,9:00,12:00,01202316,Chemical Engineering Thermodynamics II,อุณหพลศาสตร์วิศวกรรมเคมี II,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
Dictionary (not talking dict.)",1,Lecture,บรรยาย,อาคาร 14,204,มานพ เจริญไชยตระกูล(ผู้กรอกเกรด),Manop Charoenchaitrakool(Master),"นายมานพ เจริญไชยตระกูล
นายยงยุทธ อินนุรักษ์"
2026-03-16,9:00,12:00,01202316,Chemical Engineering Thermodynamics II,อุณหพลศาสตร์วิศวกรรมเคมี II,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
Dictionary (not talking dict.)",250,Lecture,บรรยาย,อาคาร 14,204,มานพ เจริญไชยตระกูล(ผู้กรอกเกรด),Manop Charoenchaitrakool(Master),"นายมานพ เจริญไชยตระกูล
นายยงยุทธ อินนุรักษ์"
2026-03-16,9:00,12:00,01205359,Power Electronics,อิเล็กทรอนิกส์กำลัง,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 2 แผ่น 4 หน้า
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 14,205,ศิริโรจน์ ศิริสุขประเสริฐ(ผู้กรอกเกรด),Siriroj Sirisukprasert(Master),"นายศิริโรจน์ ศิริสุขประเสริฐ
นายกฤษดา ทองทา"
2026-03-16,9:00,12:00,01205359,Power Electronics,อิเล็กทรอนิกส์กำลัง,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 2 แผ่น 4 หน้า
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 14,803,ศิริโรจน์ ศิริสุขประเสริฐ(ผู้กรอกเกรด),Siriroj Sirisukprasert(Master),"นางสาวอัจฉรา พิเชฐจำเริญ
นางสาวนุสรา เชื้อชาติ
นางสาวชุติมา โพธิ์ทอง"
2026-03-16,9:00,12:00,01205359,Power Electronics,อิเล็กทรอนิกส์กำลัง,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 2 แผ่น 4 หน้า
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",2,Lecture,บรรยาย,อาคาร 14,803,อัจฉรา พิเชฐจำเริญ(ผู้กรอกเกรด),Achara Pichetjamroen(Master),"นางสาวอัจฉรา พิเชฐจำเริญ
นางสาวนุสรา เชื้อชาติ
นางสาวชุติมา โพธิ์ทอง"
2026-03-16,9:00,12:00,01206461,System Engineering,วิศวกรรมระบบ,3,"OB ON
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N803,รมิดายุ อยู่สุข(ผู้กรอกเกรด),Ramidayu Yousuk(Master),"นายรมิดายุ อยู่สุข
นางสาวพวงผกา ภูครองทุ่ง"
2026-03-16,9:00,12:00,01206461,System Engineering,วิศวกรรมระบบ,3,"OB ON
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 11,N806,รมิดายุ อยู่สุข(ผู้กรอกเกรด),Ramidayu Yousuk(Master),"นางสาวแพรวพรรณ ประหยัดทรัพย์
นางสาวกฤติยา พาอิ่ม"
2026-03-16,9:00,12:00,01213219,Materials Processing Laboratory,ปฏิบัติการกระบวนการแปรรูปวัสดุ,1,"CB CN
ไม่อนุญาต เครื่องคิดเลข",11,Laboratory,ปฏิบัติ,อาคาร 14,410,"อัมพิกา บันสิทธิ์(ผู้กรอกเกรด) ,สมเจตน์ พัชรพันธ์ ,นุชนภา ตั้งบริบูรณ์","Ampika Bansiddhi(Master) ,Somjate Patcharaphun ,Nuchnapa Tangboriboon","นางสาวนุชนภา ตั้งบริบูรณ์
นายสุทธิพงศ์ จันทร์ภักดี
นางสาวจิราพร บัวสาย"
2026-03-16,9:00,12:00,01213219,Materials Processing Laboratory,ปฏิบัติการกระบวนการแปรรูปวัสดุ,1,"CB CN
ไม่อนุญาต เครื่องคิดเลข",12,Laboratory,ปฏิบัติ,อาคาร 14,410,"อัมพิกา บันสิทธิ์(ผู้กรอกเกรด) ,สมเจตน์ พัชรพันธ์ ,นุชนภา ตั้งบริบูรณ์","Ampika Bansiddhi(Master) ,Somjate Patcharaphun ,Nuchnapa Tangboriboon","นางสาวนุชนภา ตั้งบริบูรณ์
นายสุทธิพงศ์ จันทร์ภักดี
นางสาวจิราพร บัวสาย"
2026-03-16,9:00,12:00,01213219,Materials Processing Laboratory,ปฏิบัติการกระบวนการแปรรูปวัสดุ,1,"CB CN
ไม่อนุญาต เครื่องคิดเลข",13,Laboratory,ปฏิบัติ,อาคาร 14,410,"อัมพิกา บันสิทธิ์(ผู้กรอกเกรด) ,สมเจตน์ พัชรพันธ์ ,นุชนภา ตั้งบริบูรณ์","Ampika Bansiddhi(Master) ,Somjate Patcharaphun ,Nuchnapa Tangboriboon","นางสาวนุชนภา ตั้งบริบูรณ์
นายสุทธิพงศ์ จันทร์ภักดี
นางสาวจิราพร บัวสาย"
